Purch_Keurig_L12m,Purch_Keurig_L6m,Purch_Keurig_L3m,Purch_kcups_L12m,Purch_kcups_L6m,Purch_kcups_L3m,Purch_kcups_lsize_L12m,Purch_kcups_lsize_L6m,Purch_kcups_lsize_L3m,Qty_kcups_L12M,Purch_Keurig_P35_L12M,Purch_Keurig_P35_L6M,Purch_Keurig_P35_L3M,holdout_flag
upc,upc,upc,upc,upc,upc,upc,upc,upc,qtyupc,upc,upc,upc,holdout
upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,smple_flg
12,6,3,12,6,3,12,6,3,12,12,6,3,12
2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31
61124735165,61124735165,61124735165,1291901217,1291901217,1291901217,3570016264,3570016264,3570016264,1291901217,61124736838,61124736838,61124736838,1
61124735183,61124735183,61124735183,1291901219,1291901219,1291901219,3570016265,3570016265,3570016265,1291901219,61124736313,61124736313,61124736313,
61124735192,61124735192,61124735192,1291901223,1291901223,1291901223,3570016266,3570016266,3570016266,1291901223,,,,
61124735223,61124735223,61124735223,1291901225,1291901225,1291901225,3570016268,3570016268,3570016268,1291901225,,,,
61124735224,61124735224,61124735224,1291998621,1291998621,1291998621,3570016270,3570016270,3570016270,1291998621,,,,
61124735591,61124735591,61124735591,1678102500,1678102500,1678102500,3570016273,3570016273,3570016273,1678102500,,,,
61124735592,61124735592,61124735592,1678102558,1678102558,1678102558,3570016305,3570016305,3570016305,1678102558,,,,
61124735593,61124735593,61124735593,1678102559,1678102559,1678102559,3570016308,3570016308,3570016308,1678102559,,,,
61124735596,61124735596,61124735596,1678102560,1678102560,1678102560,3570016310,3570016310,3570016310,1678102560,,,,
61124735598,61124735598,61124735598,1678102561,1678102561,1678102561,3570016311,3570016311,3570016311,1678102561,,,,
61124735600,61124735600,61124735600,1678102566,1678102566,1678102566,3570016313,3570016313,3570016313,1678102566,,,,
61124735604,61124735604,61124735604,1678102580,1678102580,1678102580,3570016314,3570016314,3570016314,1678102580,,,,
61124735616,61124735616,61124735616,1678102588,1678102588,1678102588,6215123795,6215123795,6215123795,1678102588,,,,
61124735618,61124735618,61124735618,1678102592,1678102592,1678102592,6215153778,6215153778,6215153778,1678102592,,,,
61124735630,61124735630,61124735630,1678102594,1678102594,1678102594,6215196778,6215196778,6215196778,1678102594,,,,
61124735631,61124735631,61124735631,2550006855,2550006855,2550006855,9955500050,9955500050,9955500050,2550006855,,,,
61124735716,61124735716,61124735716,2550020025,2550020025,2550020025,9955500051,9955500051,9955500051,2550020025,,,,
61124735717,61124735717,61124735717,2550020027,2550020027,2550020027,9955500060,9955500060,9955500060,2550020027,,,,
61124735718,61124735718,61124735718,2550020028,2550020028,2550020028,9955500061,9955500061,9955500061,2550020028,,,,
61124735719,61124735719,61124735719,2550020029,2550020029,2550020029,9955500520,9955500520,9955500520,2550020029,,,,
61124735720,61124735720,61124735720,2550020082,2550020082,2550020082,9955500537,9955500537,9955500537,2550020082,,,,
61124735833,61124735833,61124735833,2550020222,2550020222,2550020222,9955500621,9955500621,9955500621,2550020222,,,,
61124735882,61124735882,61124735882,2550020231,2550020231,2550020231,9955500622,9955500622,9955500622,2550020231,,,,
61124735898,61124735898,61124735898,2550020285,2550020285,2550020285,9955500663,9955500663,9955500663,2550020285,,,,
61124736012,61124736012,61124736012,2550020291,2550020291,2550020291,9955500720,9955500720,9955500720,2550020291,,,,
61124736141,61124736141,61124736141,2550020627,2550020627,2550020627,9955500724,9955500724,9955500724,2550020627,,,,
64964500035,64964500035,64964500035,3570016264,3570016264,3570016264,9955500735,9955500735,9955500735,3570016264,,,,
